sentiment,text
neutral,the finnish company stockmann has signed the contract with the company technopolis
positive,the rationalization of the operations seeks to achieve over eur 1 million in yearly savings as from the second quarter of the current financial year
neutral,"votorantim celulose e papel ( vcp ) is part of the votorantim group , a major brazilian conglomerate"
neutral,6 october 2010 - finnish paints and coatings company tikkurila oyj hel : tik 1 v announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products
neutral,"the bank of tokyo-mitsubishi ufj , ltd acted as agent for the loan"
negative,"in addition , the company will reduce a maximum of ten jobs"
negative,"copper , lead and nickel also dropped ... hbos ( hbos ) plummeted 20 % to 70.3 pence after saying this year+ ? ? @ negative during the strike , finnair estimates to incur a net_loss of between eur 2 m and eur 2.5 m per day"
negative,london marketwatch -- share prices ended lower in london monday as a rebound in bank stocks failed to offset broader weakness for the ftse 100
neutral,"after the transaction , herttaassa s holding in alma media has fallen below the flagging limit of 5 %"
neutral,"jun . 25 , 2008 ( boy genius report delivered by newstex ) -- the nokia ( nyse : nok ) n 78 , huh ? @ neutral last july , the group said it intended to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of france , where it already operates a hook manufacturing and distribution unit"
neutral,"elcoteq s global service offering covers the entire lifecycle of products , from product development to after-market services"
neutral,public services will also be available
positive,"we are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . @ positive we are very pleased to be working with fujitsu and ntt docomo to advance the progress of lte , said juergen walter , head of converged core , nokia siemens networks"
neutral,"in addition a reduction of nine persons will be made through pension or other arrangements , the company added"
negative,"jan. 6 -- ford is struggling in the face of slowing truck and suv sales and a surfeit of up-to-date , got ta -have cars"
positive,these moderate but significant changes resulted in a significant 24-32 % reduction in the estimated cvd risk
neutral,all are welcome
negative,finnish laboratory liquid handling and diagnostic test systems developer biohit oyj omx helsinki : biobv issued on tuesday 3 june a profit warning for the financial year 2008
neutral,"pa ) , jpmorgan chase and co ( nyse : jpm ) and pohjoa bank are joint lead-managers on the senior , unsecured deal"
neutral,news corp. s myspace.com web site will display submissions for the expanded broadband emmy awards as part of an effort to identify aspiring video artists
neutral,the companies aim to close the deal before the end of the year
neutral,the companies signed the letter of intent for the sale on 17 september 2010 and envisaged to seal the actual agreement on 1 january 2011
neutral,our vaalipalvelu-service was especially developed for use by communities and organizations
positive,"austin , texas , sept. 6 -- texas department of transportation awards contract for teleste video compression and distribution equipment"
neutral,two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer
neutral,"cargotec s sales totalled eur 3.4 billion in 2008 and it employs approximately 10 , 500 people"
neutral,the electricity requirement of networks will grow with the new mobile generation
neutral,"the deal includes the entire personnel of planmill oy , who will transfer to the new company as so-called old employees"
negative,"the eu commission said earlier it had fined thyssenkrupp , united technologies corp s otis , schindler ag and kone oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years"
neutral,the value of this kind of order amounts usually between euro 2 and 3 million
negative,"helsinki afx - kesko corp is expected to report a lower second quarter eps today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said"
neutral,"of course , you ll have direct access to nokia s ovi store , so you ll have lots of fun downloading your favorite media"
positive,the stonegate utm solution offers protection against inbound and outbound attacks
negative,the current lay-offs are additional to the temporary lay-offs agreed in december 2008 and in may 2009
neutral,these savings will have full impact as of the beginning of 2007
positive,"according to atria s president and ceo matti tikkakoski , the company s swedish operations significantly improved in the first quarter"
negative,benefon s target is to lay off temporarily of permanently up to 20 % of the salo plant s staff
neutral,this ideally placed them in a position to tap into the potential of clean technology
neutral,"m-real corporation stock exchange release 27 august 2009 at 3.15 pm m-real has received the eur 190 million cash payment from sappi m-real corporation , a part of mets+ liitto group , divested its graphic papers business to sappi limited at the end of 2008 for eur 750 million"
neutral,"thanks to its extensive industry and operations experience , cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services"
neutral,"the new kroksberg railway tunnel will be built on a new section of track between harnosand and veda , forming part of the line that follows the coast of the gulf of bothnia"
neutral,eb will hold the exclusive rights to market the new entity s product
neutral,the company said shareholders will be able to vote on the agreement at an egm scheduled for later this month
positive,tele 2 affarsvarlden gave a buy recommendation on mobile operator tele 2 ab and a share price target of 142 crowns ( $ 23.54 - 15.19 euro )
negative,"outokumpu s steel mill in tornio , in finland , is the suspected source"
neutral,the tower s engineers have created an 18 degree westward lean - four times the inclination on the leaning tower of pisa - using diagrid structures that are aligned geometrically using tekla structures bim ( building information modeling ) software
neutral,"in april 2010 , olvi s range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape"
neutral,- cash_flow from operating activities before investments was eur 7.6 million eur 2.5 million
negative,"group ebit for the first half was eur 13.6 m us $ 17.8 m , falling short of the eur 22.5 m it posted for the same period of 2009"
positive,"in the autumn , it plans to expand service to st. petersburg and moscow and launch service to yekaterinburg , russia , flying there three times a week"
neutral,oriola-kd is a spin-off of finnish pharmaceutical group orion oyj s wholesale division
neutral,"the total floor area of the plant expansion is 29 , 000 square metres"
neutral,"following the issue , the number of shares in the swedish company will grow by 9 %"
neutral,"currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala s factory in shenzhen , china"
positive,the companies expect the first orders already in 2011
negative,the current reference grade instruments are challenging to operate due to their high price and complexity for routine use
negative,"uncommonly weak snow conditions in nearly every market have affected our first quarter result , chief executive roger talermo said"
positive,kazgiprotsvetmet and outotec finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in kazakhstan and the surrounding countries
positive,"the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several cities , enabling bi-directional services for digital television as well as broadband data"
positive,"at the end of march 2007 , the group s order book was at eur 39.6 mn , up 42 % from the corresponding period in 2006"
negative,"finnish textiles and clothing group marimekko oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005"
positive,the company s market_share is continued to increase further
negative,"in the third quarter of fiscal 2008 efore swung to a net_loss of eur 400 , 000 versus a net profit of eur 200 , 000 for the corresponding period of fiscal 2007"
neutral,"the copying , republication or redistribution of afx news content , inculding by framing or similar means , is expressly prohibited without the prior written consent of afx news"
neutral,"aug. 31 , 2009 ( gawker media delivered by newstex ) -- if you love fishing video games but felt that there just was n t enough wackiness involved , then activision s ( nasdaq : atvi ) rapala : we fish might just catch your eye with its family-fun hook"
positive,raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by russian wood products company sveza group
neutral,"the finnish company is building a 800 , 000 mt-year biodiesel plant in singapore"
neutral,"virala oy ab was allocated by the board of directors an amount of eur 1 , 9 million which is eur 0 , 25 million lower than maximum announced on 1230 2010"
positive,"via the takeover , panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries kopijyva oy and sokonet oy"
positive,"operating_loss was eur 179 mn , compared to a loss of eur 188 mn in the second quarter of 2009"
negative,"according to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008"
negative,the number of bodily injury cases quadrupled in 2000-2006
neutral,"the inventors are mukkavilli krishna kiran , sabharwal ashutosh and aazhang behnaam"
neutral,neither of the companies use genetically engineered soy at the moment
positive,"last year the company raised its turnover to approximately 7 million litas eur 2 mln , from 6.1 million litas in 2004"
neutral,"compagnie de financement foncier - is to issue a benchmark , 10 year covered deal in euros"
neutral,"as a condition to the deal , savcor alfa has to have bought photonium and akseli lahtinen inc. s business operations prior to the deal"
neutral,the purchase sum is about eur 10 mn us $ 12.97 mn
neutral,the companies aim is to finalize the negotiations and sign the contracts at the start of october 2008
neutral,the duration of the contract is 37 months
positive,"installation of the automatic varnishing line is an important part of the company s strategy in the region of central and eastern europe , said jozef misurec , the director of ruukki slovakia"
neutral,assa abloy kaupthing bank gave a neutral recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on swedish lock maker assa abloy ab
neutral,our aim is to understand different traffic patterns based on the use of each building
negative,device volume in the area decreased by 21 % to 2.7 mn units
neutral,the company had net_sales of eur 19.8 mn and a pre-tax profit of eur 1.8 mn in 2005
neutral,marketing will use tikkurila s existing infra structure and local knowledge in russia
negative,"shares in royal and sun alliance continued to slide back from a 12 -month high of 172 p last month , after a potential suitor ruled itself out of a takeover bid"
positive,"the priority for 2009 was to strengthen the company s balance sheet and increase cash_flow , ceo hannu krook said"
negative,"the workforce will be reduced also in the amsterdam office , in the netherlands"
neutral,rapala is excited to be partnering with rbff and other industry leaders on this holiday promotion . @ neutral small well targeted acquisitions have played an important role in executing satama s strategy in the past couple of years
neutral,"the total donation amount is eur 1 , 115 , 000"
negative,"operating_profit totalled eur 1.22 mn , down from eur 3.56 mn in the first quarter of 2008"
positive,through the acquisition solteq will expand its solutions offering by microsoft s dynamics business software products
positive,"however , the proportion of the paid standing orders grew in 2009"
positive,the parties have agreed to negotiate definitive distribution and license agreements by the end of june 2010
positive,the transactions would increase earnings per share in the first quarter by some eur 0.28
neutral,"the company is also seeking possibilities to relocate the luumaki personnel , some 50 people , to other upm mills"
neutral,"at the request of finnish media company alma media s newspapers , research manager jari kaivo-oja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver"
neutral,almost two thirds of olvi s net_sales come from outside finland
neutral,neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in valkeakoski
neutral,"the contract also includes cutting and edging wagon parts at ruukki s steel service centres in seinajoki and raahe , from where they will be delivered to vr for welding and assembly"
positive,21 december 2010 - finnish industrial machinery company wartsila oyj abp hel : wrt 1 v said yesterday it had won an order to design a liquefied natural gas lng powered platform supply vessel psv for norwegian oil service provider eidesvik offshore asa osl : eiof
neutral,the company admits that 36 months is a relatively short time when operating in russia
neutral,"the company will publish its financial statement for 2008 on february 25 , 2009"
negative,"in finland , metal sector company componenta is laying off temporarily the staff of its pori mill from christmas 2008 till 6 january 2009"
positive,the price for logs has clearly improved from 2009 and also the price of pulpwood has gone up
negative,the administrators have indicated a need for 900 job cuts at the irish insurer over the next 15 months
positive,a memorandum of understanding on cooperation between the finnish global chemical company kemira and vietnam national chemicals group ( vinachem ) was signed on this occasion
neutral,"stockholm-based nordea bank ( sto : nda ) said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit , effective 1 september"
positive,"finnish dental care group oral hammaslaakarit oyj posted a total net profit of 849 , 000 euro $ 1.1 mln in the first nine months of 2006 versus a net_loss of 331 , 000 euro $ 421 , 000 in the same period of 2005"
positive,"the buyer aims to thus reinforce its position in denmark , martela group managing director heikki martela said"
positive,"the growth in the activeness of talentum s customers , which started at the end of 2009 , continued during the reporting period , the company stated"
neutral,"sanoma also has an executive committee , in accordance with the company s articles of association , that prepares proposals for matters to be decided or noted by the board of directors"
positive,finnish and swedish construction markets are still experiencing an estimated 4 % annual growth in 2008
neutral,"as part of the transaction , the + + nekoski paper mill remained in m-real s ownership and continued galerie art production for sappi under a long-term contract"
neutral,the company s board of directors would propose a dividend of eur 1.00 per share for 2005
positive,"profit for the period was eur 5.9 mn , up from eur 1.3 mn"
positive,"by 14 : 29 cet on monday , shares in bavarian nordic had climbed 1.21 % to dkk 250 on the stock exchange in copenhagen after having lost 7.41 % in the past month"
neutral,a spokeswoman for the italian fashion house declined comment on the settlement
neutral,"the company has delivered the technical infrastructure , used by nav for their data warehouse and business intelligence initiatives"
negative,the measures result from weak demand in the shipbuilding industry
neutral,"exel s board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on april 19 , 2007"
positive,"the stock is trading above both its maps and the 50 -day map of sek 72.983 is higher than the 200 -day map of sek 70.283 , a bullish indicator"
neutral,"following the demerger , the vice president of the group s pharmaceutical trade in finland , jukka niemi , will be appointed managing director of oriola in addition to his current responsibilities"
negative,"operating_profit decreased to nearly eur 1.7 mn , however"
neutral,"the share capital of biotie therapies corp. constitutes 90 , 211 , 860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90 , 211 , 860"
positive,"basware s product sales grew strongly in the financial period , by 24 percent"
negative,"at this growth rate , paying off the national debt will be extremely painful"
negative,"nokia s share price fell less than one percent to 18.70 euros ( $ 25.41 ) in helsinki , while siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in frankfurt"
negative,"the operating_loss amounted to eur 0.8 mn , compared to a profit of eur 3.9 mn a year earlier"
positive,"the intel atom processor has had tremendous success in the marketplace since its launch over 2 years ago , said pankaj kedia , director of global ecosystem programs for intel corp. s ultra mobility group"
neutral,- cash_flow from operating activities before investments was eur 0.8 -1.2 million
positive,"the company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in finnish engineering group wartsila"
negative,korhonen was dismissed from her post of editor in chief of the group s newspaper lapin kansa in december 2008
negative,finland-based stockmann group has closed seven franchising sports stores nike in russia
negative,as a result of the negotiations the employment of 130 blue - and white-collar employees at the oulu plant would be terminated
positive,self-service and automation are in a bigger role now and fujitsu s global resources will be exploited effectively
positive,we are very proud to be able to use this kind of innovative mobile service for voting in elections
positive,the company intends to raise production capacity in 2006
neutral,the company reported net_sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006
positive,a profit is still on target
neutral,"tekla s defense business employs over 20 persons and is located in espoo , finland"
neutral,"jeder beta-tester erh+ lt kostenlos sechs monate lang updates und hat laut eigener aussage die m+ glichkeit , die finale version zu beeinflussen"
neutral,the plant is expected to start production in the first half of 2007
neutral,"the flex is a small price to pay for happy lenders . @ neutral the industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for web-based service to your wireless handset , he wrote"
neutral,the transaction is expected to be finalized by dec 2009
neutral,it s not
positive,"adp news - feb 13 , 2009 - finnish retailer kesko oyj hel : kesbv said today its total sales , excluding value added tax vat , stood at eur 661.3 million usd 853.1 m in january 2009 , down 15.2 % year-on-yea @ negative talentum expects that the net_sales of its core business will increase in 2008 , compared to 2007"
neutral,"the engine has an electrical output of 18 , 321 kw , making it the largest gas powered generating set in the world"
neutral,"the total number of shares in the company will be 585 , 236 , 987 innofactor group innofactor offers its customers comprehensive solutions in the microsoft environment"
neutral,"chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , bluetooth head sets , media players and other electronic devices"
positive,"the company said that it will supply the wcdma 3 g-hspa radio network , including the modular , high capacity nokia flexi wcdma base station in east java , bali , sumatra and batam"
neutral,"following the acquisitions , panostaja will establish a new business unit which will focus on heat treatment of metals"
neutral,marimekko is considering further measures in the matter
neutral,"- the group - s sales during the period were eur 31.6 million eur 36.6 million , 1-6 2007 and profit before taxes was eur 0.2 1.3 million"
neutral,"it is the last smartphone running maemo 5 , which is to be replaced with meego , a joint project between nokia , intel and the open source community"
negative,"in the baltic states the company reports net_sales of eur 11.9 mn , down from eur 14.2 mn , and an operative ebit of eur -2.2 mn , down from eur -1.7 mn"
positive,aspocomp has repaid its interest bearing liability to standard chartered bank and will use the rest of the consideration to partially repay its interest bearing liabilities in finland and to improve its liquidity
neutral,"alexandria , va. , dec. 22 -- united states patent no . 7 , 854 , 608 , issued on dec. 21 , was assigned to outotec oyj ( espoo , finland )"
neutral,finnish beverage company olvi is introducing a new long drink olvi kultalonkero ( golden long drink ) in the market in finland in the spring of 2009
positive,it therefore seems that finnish shipping company viking line will get the subsidy it needs to order its new lng-fuelled vessel
neutral,the group had an order book of eur 7.74 mn at the end of 2007
neutral,the issues identified by stonesoft affect a range of content inspection technology
negative,the recent troubles simply make neteller cheaper
neutral,the deal includes an option for cramo to buy out the minority stake in 2011
neutral,"the corresponding increase in the share capital due to these subscriptions with the warrants , in total eur 1 , 860.74 , was registered with the finnish trade register on january 4 , 2008"
negative,the repurchases shall decrease the distributable capital and reserves
positive,"tiimari latvian representative ineta zaharova said that the company earned lvl 122 , 000 in 2005 profit , which is 20 times more that in 2004"
neutral,the proposal of the shareholders to elect mr. hannu krogerus to the board is based on his long and unrivalled experience and knowledge of all matters related to elcoteq
positive,"the omx helsinki 25 index was up 0.92 pct at 2 , 518.67 and the helsinki cap portfolio index was 0.91 pct higher at 4 , 711.19"
neutral,electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks
neutral,pharmaceuticals - belgium this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in belgium
neutral,"the acquisition was financed with $ 2.56 billion of debt arranged by goldman , sachs & co ."
neutral,"the acquisition is part of suomen helasto s strategy to expand the lukkoexpert security chain , suomen helasto ceo kimmo uusimaki said"
negative,the stock was hit by the profit warning of finnish rival rautaruukki oyj ( omx : rtrks )
neutral,"the finnish company sold its uk operation - consisting of 50 staff in offices in london , birmingham and manchester - as part of a deal with hampden in july 2001 for its european-wide property and casualty arm sampo industrial"
neutral,why not give your bedroom a cool makeover for summer
positive,"the company estimates that the trend in demand for sports equipment will be steady in 2006 , amer s report said"
neutral,"cargotec s share capital after the increase totals 64 , 046 , 460 euros"
neutral,"the program , which was started in the summer of 2007 , was originally estimated to last approximately two years"
neutral,the value of the total investment is about eur 600 mn
neutral,"private equity investor capman , the owner of finnish lumene cosmetics company , is planning to list lumene"
neutral,the finnish paints company acquired the remaining 49 pct that it did not own from ukraine s lgu for an undisclosed sum
negative,finnair said that the cancellation of flights would cause daily losses of x 20 ac 2.5 million us $ 3 million
neutral,"net_sales in 2010 were about eur 2.0 billion , of which international operations accounted for roughly a quarter"
positive,"kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers"
neutral,the expanded company will continue to be called newpage
negative,"changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company"
neutral,airbus will attempt to evacuate up to 873 people within 90 seconds
neutral,"according to l+ nnen tehtaat s ceo matti karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does"
positive,eurochem cfo andrey ilyin said : this facility marks another important step for eurochem in securing the long-term financing necessary for our potash and other strategic projects
neutral,"ahms will also offer hotel and hotel project consultancy , management services , brand franchise , training and sales and marketing services on a pan-india basis"
neutral,"the total project duration is three years and it is valued at some eur 11.5 m. @ neutral the total scope of the project is about 38 , 000 square metres and it is valued at a total of around eur 75 m"
neutral,"in april-june 2008 , scanfil s net_sales totalled eur 58.7 mn and operating_profit eur 6.6 mn"
neutral,metsa-botnia will sell 82.1 % of its stake in the uruguayan companies and metsaliitto -- 5.5 %
neutral,fortum had intended to spend as much as ( euro ) 2.7 bn to become the sole owner of tgk- 10
positive,"of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in incap s earnings for 2007"
neutral,"talvik says the relocation of application programs on servers will continue , while hp servers were approved because of hp supplying a tailor-made solution to elisa"
positive,"at the same time , sales development in russia was boosted by the opening of stockmann nevsky centre in st petersburg"
neutral,"capman has four investment areas ( capman buyout , capman technology , capman life science and capman real estate ) , and each of them has a dedicated team"
neutral,the new units should become one of the largest ones within the company
neutral,profit of the accounting period was eur 0.3 mn
neutral,the bridge will be built to the south of the existing bridge spanning the strait
neutral,cameco is to provide an upfront investment of up to usd 60 mn for the construction of the uranium extraction circuit
positive,"with aldata , we can help retailers ensure that their merchandising and selections reflect customer demand and their evolving shopping behavior . @ neutral - i am pleased that bjorn wahlroos has accepted the nomination"
positive,in q 12010 18 may 2010 - finnish electrical components maker salcomp oy ( hel : sal 1 v ) said today it turned to a net profit of eur 1.6 m in the first quarter of 2010 versus a loss of eur 2 m in the corresponding period last year
positive,"as the largest elevator market in the world , chinese output of elevators continued to rise to 262 , 000 units in 2009 , up about 5 % yr-on-yr"
neutral,eur 152.4 mn of this was net interest income
neutral,- the group - s result before taxes was a loss of eur 0.6 ( +0.6 ) million
positive,yit construction and the town of riihim+ ki have signed a lease contract whereby the town will occupy the travel centre office facilities
negative,"operating_result , excluding one-off items , totaled eur 9.1 mn compared to eur 10.6 mn in continuing operations , excluding one-off items in 2004"
positive,the announced investment of the carmaker hyundai for example sounds optimistically for us as of course new cars mean new tires . @ positive 3 january 2011 - finnish flag carrier finnair oyj ( hel : fia 1 s ) said today it sealed a nine-year sale and leaseback agreement for its newest airbus a 330 aircraft for syndication into the japanese operating lease market
negative,finnish bank of + land reports its operating_profit fell to eur 4.9 mn in the third quarter of 2007 from eur 5.6 mn in the third quarter of 2006
